key,集合,zh_CN.名称,zh_CN.描述,en-us.名称,en-us.描述,zh_CN.解锁条件,en-us.解锁条件
j_hit_the_road,Joker,上路吧杰克,"本回合中，每弃掉一张
{C:attention}J{}牌
这张小丑牌获得{X:mult,C:white}X#1# {}倍率
{C:inactive}（当前为{X:mult,C:white} X#2#{C:inactive}倍率）",Hit the Road,"This Joker gains {X:mult,C:white} X#1# {} Mult
for every {C:attention}Jack{}
discarded this round
{C:inactive}(Currently {X:mult,C:white} X#2# {C:inactive} Mult)","一次弃掉
{E:1,C:attention}5张{}{E:1,C:attention}J","Discard {E:1,C:attention}5
{E:1,C:attention}Jacks{} at the
same time"
j_hologram,Joker,全息影像,"每添加一张{C:attention}卡牌{}
到你的牌组中，
这张小丑牌获得{X:mult,C:white}X#1#{}倍率
{C:inactive}（当前为{X:mult,C:white}X#2#{C:inactive}倍率）",Hologram,"This Joker gains {X:mult,C:white} X#1# {} Mult
every time a {C:attention}playing card{}
is added to your deck
{C:inactive}(Currently {X:mult,C:white} X#2# {C:inactive} Mult)",,
j_ice_cream,Joker,冰淇淋,"{C:chips}+#1#{}筹码
每次出牌后
{C:chips}-#2#{}筹码",Ice Cream,"{C:chips}+#1#{} Chips
{C:chips}-#2#{} Chips for
every hand played",,
j_idol,Joker,偶像,"每张打出的{V:1}#3#{}{C:attention}#2#
在计分时
给予{X:mult,C:white} X#1# {}倍率
{s:0.8}每回合卡牌都会变动",The Idol,"Each played {C:attention}#2#
of {V:1}#3#{} gives
{X:mult,C:white} X#1# {} Mult when scored
{s:0.8}Card changes every round","在一次出牌中
获得至少
{E:1,C:attention}#1#{}筹码","In one hand,
earn at least
{E:1,C:attention}#1#{} chips"
j_invisible,Joker,隐形小丑,"经过{C:attention}#1#{}个回合后
售出此卡牌可以
随机{C:attention}复制{}一张小丑牌
{C:inactive}(当前为{C:attention}#2#{C:inactive}/#1#)",Invisible Joker,"After {C:attention}#1#{} rounds,
sell this card to
{C:attention}Duplicate{} a random Joker
{C:inactive}(Currently {C:attention}#2#{C:inactive}/#1#)","赢一局
且从未拥有超过
{E:1,C:attention}4张小丑牌{}","Win a run without
ever having more
than {E:1,C:attention}4 Jokers{}"
j_joker,Joker,小丑,"{C:red,s:1.1}+#1#{}倍率",Joker,"{C:red,s:1.1}+#1#{} Mult",,
j_jolly,Joker,开心小丑,"如果打出的牌中
包含{C:attention}#2#{}
{C:red}+#1#{}倍率",Jolly Joker,"{C:red}+#1#{} Mult if played
hand contains
a {C:attention}#2#",,
j_juggler,Joker,杂耍师,手牌上限{C:attention}+#1#{},Juggler,{C:attention}+#1#{} hand size,,
j_loyalty_card,Joker,积分卡,"每第{C:attention}#2#{}次出牌时
给予{X:red,C:white} X#1# {}倍率
{C:inactive}（#3#）",Loyalty Card,"{X:red,C:white} X#1# {} Mult every
{C:attention}#2#{} hands played
{C:inactive}#3#",,
j_luchador,Joker,摔跤手,"售出这张小丑牌
会消除当前回合中
{C:attention}Boss盲注{}的限制条件",Luchador,"Sell this card to
disable the current
{C:attention}Boss Blind{}",,
j_lucky_cat,Joker,招财猫,"每次{C:green}成功{}触发
一张{C:attention}幸运牌{}时
这张小丑牌获得{X:mult,C:white}X#1#{}倍率
{C:inactive}（当前为{X:mult,C:white}X#2#{C:inactive}倍率）",Lucky Cat,"This Joker gains {X:mult,C:white} X#1# {} Mult
every time a {C:attention}Lucky{} card
{C:green}successfully{} triggers
{C:inactive}(Currently {X:mult,C:white} X#2# {C:inactive} Mult)",,
j_lusty_joker,Joker,色欲小丑,"打出的
{C:hearts}#2#{}花色牌
在计分时给予{C:mult}+#1#{}倍率",Lusty Joker,"Played cards with
{C:hearts}#2#{} suit give
{C:mult}+#1#{} Mult when scored",,
j_mad,Joker,疯狂小丑,"如果打出的牌中
包含{C:attention}#2#{}
{C:red}+#1#{}倍率",Mad Joker,"{C:red}+#1#{} Mult if played
hand contains
a {C:attention}#2#",,
j_madness,Joker,疯狂,"在{C:attention}小盲注{}或{C:attention}大盲注{}被选中时
这张小丑牌获得{X:mult,C:white}X#1#{}倍率
然后随机{C:attention}摧毁{}一张小丑牌
{C:inactive}（当前为{X:mult,C:white}X#2#{}倍率）",Madness,"When {C:attention}Small Blind{} or {C:attention}Big Blind{}
is selected, gain {X:mult,C:white} X#1# {} Mult
and {C:attention}destroy{} a random Joker
{C:inactive}(Currently {X:mult,C:white} X#2# {C:inactive} Mult)",,
j_mail,Joker,邮件回扣,"每弃掉一张{C:attention}#2#{}
即可获得{C:money}$#1#{}
每个回合点数都会变",Mail-In Rebate,"Earn {C:money}$#1#{} for each
discarded {C:attention}#2#{}, rank
changes every round",,
j_marble,Joker,大理石小丑,"选择{C:attention}盲注{}后
牌组中会添加
一张{C:attention}石头{}牌",Marble Joker,"Adds one {C:attention}Stone{} card
to deck when
{C:attention}Blind{} is selected",,
j_matador,Joker,斗牛士,"如果出牌触发了
{C:attention}Boss盲注{}的限制条件
获得{C:money}$#1#{}",Matador,"Earn {C:money}$#1#{} if played
hand triggers the
{C:attention}Boss Blind{} ability","不使用弃牌且
只用{E:1,C:attention}一次出牌{}
打赢Boss盲注","Defeat a Boss Blind
in {E:1,C:attention}1 hand{} without
using any discards"
j_merry_andy,Joker,快乐安迪,"每回合
弃牌次数{C:red}+#1#{}
手牌上限{C:red}#2#{}",Merry Andy,"{C:red}+#1#{} discards
each round,
{C:red}#2#{} hand size","在{E:1,C:attention}#1#{}回合
或更少回合内赢得一局","Win a run in {E:1,C:attention}#1#
or fewer rounds"
j_midas_mask,Joker,迈达斯面具,"打出的所有{C:attention}人头牌{}
在计分时
变为{C:attention}黄金牌{}",Midas Mask,"All played {C:attention}face{} cards
become {C:attention}Gold{} cards
when scored",,
j_mime,Joker,哑剧演员,"重新触发所有
{C:attention}留在手牌中的
{C:attention}牌{}的能力",Mime,"Retrigger all
card {C:attention}held in
{C:attention}hand{} abilities",,
j_misprint,Joker,印错小丑,,Misprint,,,
j_mr_bones,Joker,骷髅先生,"如果最终得到的
筹码至少是
所需筹码的{C:attention}25%
则不会死亡
{S:1.1,C:red,E:2}自毁{}",Mr. Bones,"Prevents Death
if chips scored
are at least {C:attention}25%
of required chips
{S:1.1,C:red,E:2}self destructs{}","输掉{C:attention,E:1}#1#{}局游戏
{C:inactive}(#2#)","Lose {C:attention,E:1}#1#{} runs
{C:inactive}(#2#)"
j_mystic_summit,Joker,神秘之峰,"当剩余{C:attention}#2#{}次
弃牌次数
{C:mult}+#1#{}倍率",Mystic Summit,"{C:mult}+#1#{} Mult when
{C:attention}#2#{} discards
remaining",,
j_obelisk,Joker,方尖石塔,"连续打出不是你
最常用的{C:attention}牌型{}时
这张小丑牌获得{X:mult,C:white}X#1#{}倍率
失败将会重置倍率
{C:inactive}（当前为{X:mult,C:white}X#2#{C:inactive}倍率）",Obelisk,"This Joker gains {X:mult,C:white} X#1# {} Mult
per {C:attention}consecutive{} hand played
without playing your
most played {C:attention}poker hand
{C:inactive}(Currently {X:mult,C:white} X#2# {C:inactive} Mult)",,
j_odd_todd,Joker,奇数托德,"打出的点数为
{C:attention}奇数{}的牌
在计分时给予{C:chips}+#1#{}筹码
{C:inactive}（A、9、7、5、3）",Odd Todd,"Played cards with
{C:attention}odd{} rank give
{C:chips}+#1#{} Chips when scored
{C:inactive}(A, 9, 7, 5, 3)",,
j_onyx_agate,Joker,缟玛瑙,"打出的
{C:clubs}梅花{}花色牌
在计分时给予{C:mult}+#1#{}倍率",Onyx Agate,"Played cards with
{C:clubs}Club{} suit give
{C:mult}+#1#{} Mult when scored","在你的牌组中
拥有至少{E:1,C:attention}#1#张
带有{E:1,C:attention}#2#花色的卡牌","Have at least {E:1,C:attention}#1#
cards with {E:1,C:attention}#2#
suit in your deck"
j_oops,Joker,六六大顺,"将所有以{C:attention}数字标注{}出的
{C:green,E:1,S:1.1}几率{}翻倍
{C:inactive}（例如：{C:green}1/3{C:inactive}几率 -> {C:green}2/3{C:inactive}几率）",Oops! All 6s,"Doubles all {C:attention}listed
{C:green,E:1,S:1.1}probabilities
{C:inactive}(ex: {C:green}1 in 3{C:inactive} -> {C:green}2 in 3{C:inactive})","在一次出牌中
获得至少
{E:1,C:attention}#1#{}筹码","In one hand,
earn at least
{E:1,C:attention}#1#{} chips"
j_order,Joker,秩序,"如果打出的牌中
包含{C:attention}#2#
{X:mult,C:white}X#1#{}倍率",The Order,"{X:mult,C:white} X#1# {} Mult if played
hand contains
a {C:attention}#2#","赢一局
且不打出
{E:1,C:attention}#1#","Win a run
without playing
a {E:1,C:attention}#1#"
j_pareidolia,Joker,幻视,"所有卡牌
均视为
{C:attention}人头牌{}",Pareidolia,"All cards are
considered
{C:attention}face{} cards",,
j_perkeo,Joker,帕奇欧,"在离开商店时
随机复制{C:attention}1{}张
拥有的{C:attention}消耗牌{}
并给那张牌{C:dark_edition}负片{}效果",Perkeo,"Creates a {C:dark_edition}Negative{} copy of
{C:attention}1{} random {C:attention}consumable{}
card in your possession
at the end of the {C:attention}shop","{E:1,s:1.3}?????","{E:1,s:1.3}?????"
j_photograph,Joker,照片,"打出的第一张{C:attention}人头牌{}
在计分时
会给予{X:mult,C:white} X#1# {}倍率",Photograph,"First played {C:attention}face
card gives {X:mult,C:white} X#1# {} Mult
when scored",,
j_popcorn,Joker,爆米花,"{C:mult}+#1#{}倍率
每回合结束时
{C:mult}-#2#{}倍率",Popcorn,"{C:mult}+#1#{} Mult
{C:mult}-#2#{} Mult per
round played",,
j_raised_fist,Joker,致胜之拳,"将留在手牌中点数{C:attention}最小{}牌
点数的{C:attention}两倍{}
加到倍率上",Raised Fist,"Adds {C:attention}double{} the rank
of {C:attention}lowest{} ranked card
held in hand to Mult",,
j_ramen,Joker,拉面,"{X:mult,C:white}X#1#{}倍率
每{C:attention}弃掉一张牌{}
失去{X:mult,C:white}X#2#{}倍率",Ramen,"{X:mult,C:white} X#1# {} Mult,
loses {X:mult,C:white} X#2# {} Mult
per {C:attention}card{} discarded",,
j_red_card,Joker,红牌,"当跳过任一{C:attention}补充包{}时
这张小丑牌获得{C:red}+#1#{}倍率
{C:inactive}（当前为{C:red}+#2#{C:inactive}倍率）",Red Card,"This Joker gains
{C:red}+#1#{} Mult when any
{C:attention}Booster Pack{} is skipped
{C:inactive}(Currently {C:red}+#2#{C:inactive} Mult)",,
j_reserved_parking,Joker,私人车位,"留在手牌中的
每一张{C:attention}人头牌{}
有{C:green}#2#/#3#{}几率
给予{C:money}$#1#{}",Reserved Parking,"Each {C:attention}face{} card
held in hand has
a {C:green}#2# in #3#{} chance
to give {C:money}$#1#{}",,
j_ride_the_bus,Joker,搭乘巴士,"连续打出没有
计分{C:attention}人头牌{}的牌时
这张小丑牌获得{C:mult}+#1#{}倍率
失败将会重置倍率
{C:inactive}（当前为{C:mult}+#2#{C:inactive}倍率）",Ride the Bus,"This Joker gains {C:mult}+#1#{} Mult
per {C:attention}consecutive{} hand
played without a
scoring {C:attention}face{} card
{C:inactive}(Currently {C:mult}+#2#{C:inactive} Mult)",,
j_riff_raff,Joker,乌合之众,"在选择{C:attention}盲注{}时
生成{C:attention}#1#张{C:blue}普通{C:attention}小丑牌
{C:inactive}（必须有空间）",Riff-Raff,"When {C:attention}Blind{} is selected,
create {C:attention}#1# {C:blue}Common{C:attention} Jokers
{C:inactive}(Must have room)",,
j_ring_master,Joker,马戏团长,"{C:attention}小丑牌{}、{C:tarot}塔罗牌{}、{C:planet}星球牌{}
和{C:planet}幻灵牌{}可以同时
出现复数张",Showman,"{C:attention}Joker{}, {C:tarot}Tarot{}, {C:planet}Planet{},
and {C:spectral}Spectral{} cards may
appear multiple times","达到底注
等级{E:1,C:attention}#1#","Reach Ante
level {E:1,C:attention}#1#"
j_rocket,Joker,火箭,"每个回合结束时你获得{C:money}$#1#{}
击败{C:attention}Boss盲注{}
会使这一金额增加{C:money}$#2#{}",Rocket,"Earn {C:money}$#1#{} at end of round
Payout increases by {C:money}$#2#{}
when {C:attention}Boss Blind{} is defeated",,
j_rough_gem,Joker,璞玉,"打出的
{C:diamonds}方块{}花色牌
在计分时给予{C:money}$#1#{}",Rough Gem,"Played cards with
{C:diamonds}Diamond{} suit earn
{C:money}$#1#{} when scored","在你的牌组中
拥有至少{E:1,C:attention}#1#张
带有{E:1,C:attention}#2#花色的卡牌","Have at least {E:1,C:attention}#1#
cards with {E:1,C:attention}#2#
suit in your deck"
j_runner,Joker,跑步选手,"如果打出的牌中包含
{C:attention}顺子{}
这张小丑获得{C:chips}+#2#{}筹码
{C:inactive}（当前为{C:chips}+#1#{C:inactive}筹码）",Runner,"Gains {C:chips}+#2#{} Chips
if played hand
contains a {C:attention}Straight{}
{C:inactive}(Currently {C:chips}+#1#{C:inactive} Chips)",,
j_satellite,Joker,卫星,"本赛局每使用过一种
{C:planet}星球牌{}，每回合结束时
可得到{C:money}$#1#{}
{C:inactive}（当前{C:money}$#2#{C:inactive}）",Satellite,"Earn {C:money}$#1#{} at end of
round per unique {C:planet}Planet
card used this run
{C:inactive}(Currently {C:money}$#2#{C:inactive})","有{E:1,C:money}$#1#
或更多","Have {E:1,C:money}$#1#
or more"
j_scary_face,Joker,恐怖面孔,"打出的{C:attention}人头牌{}
在计分时
给予{C:chips}+#1#{}筹码",Scary Face,"Played {C:attention}face{} cards
give {C:chips}+#1#{} Chips
when scored",,
j_scholar,Joker,学者,"打出的{C:attention}A{}牌
在计分时给予
{C:mult}+#1#{}倍率
和{C:chips}+#2#{}筹码",Scholar,"Played {C:attention}Aces{}
give {C:chips}+#2#{} Chips
and {C:mult}+#1#{} Mult
when scored",,
j_seance,Joker,通灵,"如果{C:attention}牌型{}为
{C:attention}#1#{}，随机生成
一张{C:spectral}幻灵牌{}
{C:inactive}（必须有空位）",Séance,"If {C:attention}poker hand{} is a
{C:attention}#1#{}, create a
random {C:spectral}Spectral{} card
{C:inactive}(Must have room)",,
j_seeing_double,Joker,重影,"如果打出的牌中，包含
一张计分的{C:clubs}梅花{}牌和
一张计分的任何其他{C:attention}花色{}牌
则{X:mult,C:white} X#1# {}倍率",Seeing Double,"{X:mult,C:white} X#1# {} Mult if played
hand has a scoring
{C:clubs}Club{} card and a scoring
card of any other {C:attention}suit","打出一手
包含
{E:1,C:attention}#1#的牌","Play a hand
that contains
{E:1,C:attention}#1#"
j_selzer,Joker,苏打水,"在接下来的{C:attention}#1#{}次出牌中
重新触发所有
打出的卡牌",Seltzer,"Retrigger all
cards played for
the next {C:attention}#1#{} hands",,
j_shoot_the_moon,Joker,射月,"留在手牌中的
每一张{C:attention}Q
给予{C:mult}+#1#{}倍率",Shoot the Moon,"Each {C:attention}Queen{}
held in hand
gives {C:mult}+#1#{} Mult","在单个回合中
打出牌组里的
所有{E:1,C:attention}红桃","Play every {E:1,C:attention}Heart
in your deck in
a single round"
j_shortcut,Joker,捷径,"让{C:attention}顺子{}可以
相隔{C:attention}1个点数{}组成
{C:inactive}（例如：{C:attention}10 8 6 5 3{C:inactive}）",Shortcut,"Allows {C:attention}Straights{} to be
made with gaps of {C:attention}1 rank
{C:inactive}(ex: {C:attention}10 8 6 5 3{C:inactive})",,
j_sixth_sense,Joker,第六感,"如果回合的{C:attention}第一次出牌{}
是一张单独的{C:attention}6{}
则将其销毁并生成一张{C:spectral}幻灵牌{}
{C:inactive}（必须有空位）",Sixth Sense,"If {C:attention}first hand{} of round is
a single {C:attention}6{}, destroy it and
create a {C:spectral}Spectral{} card
{C:inactive}(Must have room)",,
j_sly,Joker,奸诈小丑,"如果打出的牌中
包含{C:attention}#2#
{C:chips}+#1#{}筹码",Sly Joker,"{C:chips}+#1#{} Chips if played
hand contains
a {C:attention}#2#",,
j_smeared,Joker,模糊小丑,"{C:hearts}红桃{}和{C:diamonds}方片
视作同一花色，
{C:spades}黑桃{}和{C:clubs}梅花
也视作同一花色",Smeared Joker,"{C:hearts}Hearts{} and {C:diamonds}Diamonds
count as the same suit,
{C:spades}Spades{} and {C:clubs}Clubs
count as the same suit","在你的牌组中
至少拥有{C:attention}#1#
{E:1,C:attention}#2#{}","Have at least {C:attention}#1#
{E:1,C:attention}#2#{} in
your deck"
j_smiley,Joker,微笑表情,"打出的{C:attention}人头牌{}
在计分时
给予{C:mult}+#1#{}倍率",Smiley Face,"Played {C:attention}face{} cards
give {C:mult}+#1#{} Mult
when scored",,
j_sock_and_buskin,Joker,喜与悲,"重新触发所有
打出的{C:attention}人头牌{}",Sock and Buskin,"Retrigger all
played {C:attention}face{} cards","打出总共
{C:attention,E:1}#1#{}张人头牌
{C:inactive}(#2#)","Play a total of
{C:attention,E:1}#1#{} face cards
{C:inactive}(#2#)"
j_space,Joker,太空小丑,"有{C:green}#1#/#2#{}的
几率升级
打出的{C:attention}牌型等级{}",Space Joker,"{C:green}#1# in #2#{} chance to
upgrade level of
played {C:attention}poker hand{}",,
j_splash,Joker,飞溅,"每张{C:attention}打出的牌
都可以计分",Splash,"Every {C:attention}played card
counts in scoring",,
j_square,Joker,方形小丑,"如果打出的牌
正好是{C:attention}4{}张牌
这张小丑牌获得{C:chips}+#2#{}筹码
{C:inactive}（当前为{C:chips}+#1#{C:inactive}筹码）",Square Joker,"This Joker gains {C:chips}+#2#{} Chips
if played hand has
exactly {C:attention}4{} cards
{C:inactive}(Currently {C:chips}#1#{C:inactive} Chips)",,
j_steel_joker,Joker,钢铁小丑,"{C:attention}完整牌组{}内每有一张
{C:attention}钢铁牌{}
给予{X:mult,C:white} X#1# {}倍率
{C:inactive}（当前为{X:mult,C:white}X#2#{C:inactive}倍率）",Steel Joker,"Gives {X:mult,C:white} X#1# {} Mult
for each {C:attention}Steel Card
in your {C:attention}full deck
{C:inactive}(Currently {X:mult,C:white} X#2# {C:inactive} Mult)",,
j_stencil,Joker,模具小丑,"每个空的{C:attention}小丑牌{}槽位
获得{X:red,C:white} X1{}倍率
{s:0.8}模具小丑算作空位
（当前为{X:red,C:white} X#1# {C:inactive}）",Joker Stencil,"{X:red,C:white} X1 {} Mult for each
empty {C:attention}Joker{} slot
{s:0.8}Joker Stencil included
{C:inactive}(Currently {X:red,C:white} X#1# {C:inactive})",,
j_stone,Joker,石头小丑,"{C:attention}完整牌组{}内每有一张
{C:attention}石头牌
{C:chips}+#1#{}筹码
{C:inactive}（当前为{C:chips}+#2#{C:inactive}筹码）",Stone Joker,"Gives {C:chips}+#1#{} Chips for
each {C:attention}Stone Card
in your {C:attention}full deck
{C:inactive}(Currently {C:chips}+#2#{C:inactive} Chips)",,
j_stuntman,Joker,特技演员,"{C:chips}+#1#{}筹码
手牌上限{C:attention}-#2#{}",Stuntman,"{C:chips}+#1#{} Chips,
{C:attention}-#2#{} hand size","在一次出牌中
获得至少
{E:1,C:attention}#1#{}筹码","In one hand,
earn at least
{E:1,C:attention}#1#{} chips"
j_supernova,Joker,超新星,"将{C:attention}牌型{}在本赛局内
被{C:attention}打出过{}的次数
添加至倍率",Supernova,"Adds the number of times
{C:attention}poker hand{} has been
played this run to Mult",,
j_superposition,Joker,叠加态,"如果打出的牌中包含
一张{C:attention}A{}和一个{C:attention}顺子{}
生成一张{C:tarot}塔罗牌{}
{C:inactive}（必须有空位）",Superposition,"Create a {C:tarot}Tarot{} card if
poker hand contains an
{C:attention}Ace{} and a {C:attention}Straight{}
{C:inactive}(Must have room)",,
j_swashbuckler,Joker,侠盗,"将拥有的所有其他
{C:attention}小丑牌{}的总售价
添加至倍率
{C:inactive}（当前为{C:mult}+#1#{C:inactive}倍率）",Swashbuckler,"Adds the sell value
of all other owned
{C:attention}Jokers{} to Mult
{C:inactive}(Currently {C:mult}+#1#{C:inactive} Mult)","总共卖出
{C:attention,E:1}#1#{}张小丑牌
{C:inactive}(#2#)张","Sell a total of
{C:attention,E:1}#1#{} Joker cards
{C:inactive}(#2#)"
j_throwback,Joker,回溯,"本赛局内每跳过一次
{C:attention}盲注{}，获得{X:mult,C:white}X#1#{}倍率
{C:inactive}（当前为{X:mult,C:white} X#2# {C:inactive}倍率）",Throwback,"{X:mult,C:white} X#1# {} Mult for each
{C:attention}Blind{} skipped this run
{C:inactive}(Currently {X:mult,C:white} X#2# {C:inactive} Mult)","从主菜单中选择继续
游玩已保存的局","Continue a saved run
from the main menu"
j_ticket,Joker,黄金门票,"打出的{C:attention}黃金牌{}
在计分时获得{C:money}$#1#{}",Golden Ticket,"Played {C:attention}Gold{} cards
earn {C:money}$#1#{} when scored","打出一手五张
只包含
{C:attention,E:1}黃金牌{}的牌","Play a 5 card hand
that contains only
{C:attention,E:1}Gold{} cards"
j_to_the_moon,Joker,冲向月球,"回合结束时
每拥有{C:money}$5{}
可以额外获得{C:money}$#1#{}的{C:attention}利息{}",To the Moon,"Earn an extra {C:money}$#1#{} of
{C:attention}interest{} for every {C:money}$5{} you
have at end of round",,
j_todo_list,Joker,待办清单,"如果{C:attention}出牌牌型{}为{C:attention}#2#{}
获得{C:money}$#1#{}
每回合结束时
牌型都会改变",To Do List,"Earn {C:money}$#1#{} if {C:attention}poker hand{}
is a {C:attention}#2#{},
poker hand changes
at end of round",,
j_trading,Joker,交易卡,"如果每回合的{C:attention}第一次弃牌{}
只有{C:attention}1{}张牌，则将其
摧毁并获得{C:money}$#1#",Trading Card,"If {C:attention}first discard{} of round
has only {C:attention}1{} card, destroy
it and earn {C:money}$#1#",,
j_tribe,Joker,部落,"如果打出的牌中
包含{C:attention}#2#
{X:mult,C:white}X#1#{}倍率",The Tribe,"{X:mult,C:white} X#1# {} Mult if played
hand contains
a {C:attention}#2#","赢一局
且不打出
{E:1,C:attention}#1#","Win a run
without playing
a {E:1,C:attention}#1#"
j_triboulet,Joker,特里布莱,"打出的{C:attention}K{}和{C:attention}Q
在计分时
给予{X:mult,C:white}X#1#{}倍率",Triboulet,"Played {C:attention}Kings{} and
{C:attention}Queens{} each give
{X:mult,C:white} X#1# {} Mult when scored","{E:1,s:1.3}?????","{E:1,s:1.3}?????"
j_trio,Joker,三重奏,"如果打出的牌中
包含{C:attention}#2#
{X:mult,C:white}X#1#{}倍率",The Trio,"{X:mult,C:white} X#1# {} Mult if played
hand contains
a {C:attention}#2#","赢一局
且不打出
{E:1,C:attention}#1#","Win a run
without playing
a {E:1,C:attention}#1#"
j_troubadour,Joker,游吟诗人,"{C:attention}+#1#{}手牌上限
每回合出牌次数{C:blue}-#2#{}",Troubadour,"{C:attention}+#1#{} hand size,
{C:blue}-#2#{} hand each round","连续赢得{C:attention,E:1}#1#{}回合
且每回合只使用
一次出牌次数","Win {C:attention,E:1}#1#{} consecutive
rounds by playing
only 1 hand"
j_trousers,Joker,备用裤子,"如果打出的牌中包含
{C:attention}#2#
则这张小丑牌获得{C:mult}+#1#{}倍率
{C:inactive}（当前为{C:red}+#3#{C:inactive}倍率）",Spare Trousers,"This Joker gains {C:mult}+#1#{} Mult
if played hand contains
a {C:attention}#2#
{C:inactive}(Currently {C:red}+#3#{C:inactive} Mult)",,
j_turtle_bean,Joker,黑龟豆,"手牌上限{C:attention}+#1#{}
每回合结束时减{C:red}#2#{}",Turtle Bean,"{C:attention}+#1#{} hand size,
reduces by
{C:red}#2#{} every round",,
j_vagabond,Joker,流浪者,"如果在出牌时
资金少于等于{C:money}$#1#{}
则获得一张{C:purple}塔罗牌{}",Vagabond,"Create a {C:purple}Tarot{} card
if hand is played
with {C:money}$#1#{} or less",,
j_vampire,Joker,吸血鬼,"每打出一张计分的{C:attention}增强卡牌{}
这张小丑牌获得{X:mult,C:white}X#1#{}倍率
并移除卡牌的{C:attention}增强效果
{C:inactive}（当前为{X:mult,C:white}X#2#{C:inactive}倍率）",Vampire,"This Joker gains {X:mult,C:white} X#1# {} Mult
per scoring {C:attention}Enhanced card{} played,
removes card {C:attention}Enhancement
{C:inactive}(Currently {X:mult,C:white} X#2# {C:inactive} Mult)",,
j_walkie_talkie,Joker,对讲机,"打出的每张{C:attention}10{}和{C:attention}4
在计分时获得{C:chips}+#1#{}筹码
以及{C:mult}+#2#{}倍率",Walkie Talkie,"Each played {C:attention}10{} or {C:attention}4
gives {C:chips}+#1#{} Chips and
{C:mult}+#2#{} Mult when scored",,
j_wee,Joker,小小丑,"每有一张打出的{C:attention}2{}计分时
这张小丑牌获得
{C:chips}+#2#{}筹码
{C:inactive}（当前为{C:chips}+#1#{C:inactive}筹码）",Wee Joker,"This Joker gains
{C:chips}+#2#{} Chips when each
played {C:attention}2{} is scored
{C:inactive}(Currently {C:chips}+#1#{C:inactive} Chips)","在{E:1,C:attention}#1#{}回合
或更少回合内赢得一局","Win a run in {E:1,C:attention}#1#
or fewer rounds"
j_wily,Joker,狡猾小丑,"如果打出的牌中
包含{C:attention}#2#
{C:chips}+#1#{}筹码",Wily Joker,"{C:chips}+#1#{} Chips if played
hand contains
a {C:attention}#2#",,
j_wrathful_joker,Joker,愤怒小丑,"打出的
{C:spades}#2#{}花色牌
在计分时给予{C:mult}+#1#{}倍率",Wrathful Joker,"Played cards with
{C:spades}#2#{} suit give
{C:mult}+#1#{} Mult when scored",,
j_yorick,Joker,约里克,"每弃掉{C:attention}#2#{C:inactive}[#3#]{}张牌
这张小丑牌获得{X:mult,C:white} X#1# {}倍率
{C:inactive}（当前为{X:mult,C:white} X#4# {C:inactive}倍率）",Yorick,"This Joker gains
{X:mult,C:white} X#1# {} Mult every {C:attention}#2#{C:inactive} [#3#]{}
cards discarded
{C:inactive}(Currently {X:mult,C:white} X#4# {C:inactive} Mult)","{E:1,s:1.3}?????","{E:1,s:1.3}?????"
j_zany,Joker,古怪小丑,"如果打出的牌中
包含{C:attention}#2#{}
{C:red}+#1#{}倍率",Zany Joker,"{C:red}+#1#{} Mult if played
hand contains
a {C:attention}#2#",,
black_sticker,Other,黑标贴,"使用这张小丑牌
在{C:attention}黑注
难度下获胜",Black Sticker,"Used this Joker
to win on {C:attention}Black
{C:attention}Stake{} difficulty",,
blue_seal,Other,蓝色蜡封,"如果在回合结束时
这张牌还{C:attention}留在{}手牌中
会生成最后一手牌型的{C:planet}星球牌{}
{C:inactive}（必须有空位）",Blue Seal,"Creates the {C:planet}Planet{} card
for final played {C:attention}poker hand{}
of round if {C:attention}held{} in hand
{C:inactive}(Must have room)",,
blue_sticker,Other,蓝标贴,"使用这张小丑牌
在{C:attention}蓝注
难度下获胜",Blue Sticker,"Used this Joker
to win on {C:attention}Blue
{C:attention}Stake{} difficulty",,
card_chips,Other,,{C:chips}+#1#{}筹码,,{C:chips}+#1#{} chips,,
card_extra_chips,Other,,{C:chips}+#1#{}额外筹码,,{C:chips}+#1#{} extra chips,,
challenge_locked,Other,未解锁,"用至少#1#个不同牌组
赢得一场比赛以解锁
挑战模式
{C:attention,s:2}#2#/#1#",Locked,"Win a run with at least
#1# different decks to unlock
Challenge mode
{C:attention,s:2}#2#/#1#",,
debuffed_default,Other,被削弱,"所有能力
都不起效",Debuffed,"All abilities
are disabled",,
debuffed_playing_card,Other,被削弱,"计分时不获得筹码，
不能触发任何
功能和效果",Debuffed,"Scores no chips
and all abilities
are disabled",,
deck_locked_discover,Other,锁定,"在收藏中
发现至少
{C:attention}#1#{}个项目",Locked,"Discover at least
{C:attention}#1#{} items from
your collection",,
deck_locked_stake,Other,锁定,"在{V:1}#1#{}或以上
难度以任一牌组
赢得一局",Locked,"Win a run with any
deck on at least
{V:1}#1#{} difficulty",,
deck_locked_win,Other,锁定,"在任一难度下
以{C:attention}#1#{}
赢得一局",Locked,"Win a run with
{C:attention}#1#{}
on any difficulty",,
demo_locked,Other,锁定,"本试玩版
暂不可用",Locked,"Not available
in this demo",,
demo_shop_locked,Other,锁定,"{C:attention}金宝的
个人卡牌收藏。
可在完整版
{E:1,C:red}Balatro中找到",Locked,"Card from {C:attention}Jimbo's
personal collection,
available in the full
version of {E:1,C:red}Balatro",,
