_key,KO,PT_BR,ID,EN_US,EN_GB
GL_LANG_FRUIT_AD_COMING_SUB_TITLE,광고가 표시됩니다,O jogo voltará logo após este anúncio!,Game akan kembali segera setelah iklan ini!,Ad will show in,Ad will show in
GL_LANG_FRUIT_TITLE_SCORE,점수,PONTUAÇÃO,SKOR,SCORE,SCORE
GL_LANG_FRUIT_TITLE_TIME,전체 기록,DE SEMPRE,SEPANJANG WAKTU,ALL-TIME,ALL-TIME
GL_LANG_FRUIT_TITLE_NEXT,다음,Próximo,Berikutnya,Next,Next
GL_LANG_FRUIT_GUIDE_1,원하는 위치를 터치하여 과일을 떨어뜨리세요,Toque para soltar a fruta onde quiser,Ketuk untuk menjatuhkan buah di tempat yang Anda inginkan,Tap to drop the fruit wherever you wish,Tap to drop the fruit wherever you wish
GL_LANG_FRUIT_GUIDE_2,"또는 선을 끌어 원하는 위치에
 과일을 떨어뜨리세요",Ou arraste a linha para o local desejado para soltar a fruta,Atau seret garis ke tempat yang Anda inginkan untuk menjatuhkan buah,Or drag the line to your desired spot to drop the fruit,Or drag the line to your desired spot to drop the fruit
GL_LANG_FRUIT_GUIDE_3,"같은 과일 두 개를 합쳐 더 큰
 과일을 만드세요",Una duas frutas idênticas para criar uma maior,Gabungkan dua buah identik untuk membuat yang lebih besar,Merge two indentical fruits to create a larger one,Merge two indentical fruits to create a larger one
GL_LANG_FRUIT_GUIDE_SKIP,건너뛰기,Pular,Lewati,Skip,Skip
GL_LANG_FRUIT_GUIDE_PROP_BOMB_DESC,과일을 터치하여 제거하세요,Toque em uma fruta para removê-la,Ketuk buah untuk menghapusnya,Tap a Fruit to clear it,Tap a Fruit to clear it
GL_LANG_FRUIT_POPUP_RESTART_TITLE,"게임을 다시 
시작하시겠습니까?",Reiniciar Jogo?,Mulai ulang permainan?,Restart Game?,Restart Game?
GL_LANG_FRUIT_POPUP_RESTART_DESC,현재 진행 상황이 모두 사라집니다!,Você perderá seu progresso atual!,"Anda akan kehilangan kemajuan 
Anda saat ini!",You'll lose your current progress!,You'll lose your current progress!
GL_LANG_FRUIT_POPUP_RESTART_BUTTON_YES,다시 시작,Reiniciar,Mulai ulang,Restart,Restart
GL_LANG_FRUIT_POPUP_RESTART_BUTTON_NO,취소,Cancelar,Batal,Cancel,Cancel
GL_LANG_FRUIT_POPUP_BOMB_TITLE,광고를 시청하고 보상: 폭탄 받기!,Assista a um anúncio para ganhar a recompensa: Bomba,Tonton iklan untuk mendapatkan hadiah: Bom,Watch an ad to get reward: Bomb!,Watch an ad to get reward: Bomb!
GL_LANG_FRUIT_POPUP_BOMB_BUTTON_YES,좋은 아이디어입니다!,Ótima ideia!,Ide bagus!,Great idea!,Great idea!
GL_LANG_FRUIT_POPUP_BOMB_BUTTON_NO,괜찮습니다,"Não, obrigado","Tidak, terima kasih",No thanks,No thanks
GL_LANG_FRUIT_POPUP_SHAKE_TITLE,광고를 시청하고 보상: 흔들기 받기!,Assista a um anúncio para ganhar a recompensa: Agitar,Tonton iklan untuk mendapatkan hadiah: Guncang,Watch an ad to get reward: Shake,Watch an ad to get reward: Shake
GL_LANG_FRUIT_POPUP_SHAKE_BUTTON_YES,좋은 아이디어입니다!,Ótima ideia!,Ide bagus!,Great idea!,Great idea!
GL_LANG_FRUIT_POPUP_SHAKE_BUTTON_NO,닫기,"Não, obrigado","Tidak, terima kasih",No thanks,No thanks
GL_LANG_COMMON_RESULT_BUTTON_PLAY_AGAIN,다시 플레이하기,Jogar outra vez,Main Lagi,Play Again,Play Again
GL_LANG_COMMON_RESULT_OVER_FRUIT_SCORE,점수,Pontuação,Skor,Score,Score
GL_LANG_COMMON_RESULT_OVER_FRUIT_BEST_SCORE,골든 최고 점수,Melhor Pontuação,Skor terbaik,Golden Best Score,Golden Best Score
GL_LANG_COMMON_RESULT_OVER_SCORE,점수,Pontuação,Skor,Score,Score
