id,常量名,显示名,真实名
17017,RANDOM_AFTER_CLEAR_BOARD,清屏后随机,清屏后随机
19002,HIGH_SCORE_DEATH,高分怼死题,高分怼死题
19004,ALGO_MANY_CLEAR_DEATH,多消怼死,多消怼死
19005,UNCONSCIOUS_DIE,无知觉怼死,无知觉怼死
19007,TIME_DUI_SI_TI,定时怼死题,定时怼死题
19008,ALGO_UNOBVIOUS_DEATH,不易查觉怼死题,不易查觉怼死题
19009,ALGO_INSTINCT_DEATH,直觉怼死,直觉怼死
19011,POLITE_DEATH_2,礼貌致死题2,礼貌致死题2
19012,POLITE_DEATH_1,礼貌致死题1,礼貌致死题1
20006,BEST_BLOCK_FOR_REVIVE,最优复活块,最优复活块
20007,LUCKY_REVIVE,lucky复活出块,lucky复活出块
20023,ALGO_PEACE_STOP_FILL,温和打断combo算法,温和打断combo算法
21012,ALGO_CLEAR_BOARD_LOW_STACK_INTERRUPT,清盘算法LowStackInterrupt,清盘算法LowStackInterrupt
21013,ALGO_XY_CLEAR_BOARD,XY清盘算法,XY清盘算法
21015,ALGO_SECOND_CLEAR_BOARD_BLOCK,二次清盘块,二次清盘块
24003,ALGO_MUST_DEATH_EX,致死题,致死题
24004,ALGO_PEACEFUL_DEATH,和平致死题,和平致死题
24005,DEAD_HARD_LIKE,阻断难题算法,阻断难题算法
24006,ALGO_MUST_DEATH_INDUCE,必死诱导算法,必死诱导算法
24007,ALGO_MUST_DEATH_MAX_AREA,尽量大致死题,尽量大致死题
29002,COLLECT_BLOCK_TO_FILL_EMPTY,攒块填空,攒块填空
29003,STAY_IN_BLANK_FILL,滞留清除填空,滞留清除填空
29004,CLEAR_MORE_BLOCK,多消Plus,多消Plus
29007,PRESS_BLOCK_FILL,缓压算法,缓压算法
29008,FIRST_ROUND_CRAZY,首轮爽消,首轮爽消
29012,SIMPLE_BLOCK_FALLBACK_FILL,简单块兜底填空,简单块兜底填空
29013,SIMPLE_BLOCK_FALLBACK_ENTROPY3,简单块兜底熵增3,简单块兜底熵增3
29014,SIMPLE_BLOCK_FILTER_FILL,简单块筛选填空,简单块筛选填空
29015,SIMPLE_BLOCK_FILTER_ENTROPY3,简单块筛选熵增3,简单块筛选熵增3
29017,NEAR_BIG_BLOCK_FILL,近距离大块填空,近距离大块填空
29020,FIRST_ROUND_BLOCK,首轮块,首轮块
29024,DISASSEMBLE_BLOCK,拆解块,拆解块
29025,ALGO_DOWNGRADE_BOTTOM,出题失败降级兜底,出题失败降级兜底
29026,ALGO_REVIVE_BOUNDARY,复活边界算法,复活边界算法
29027,CROSS_CLEAR_COOL,爽感十字消,爽感十字消
29029,ALGO_SYMMETRY_BLOCK_XY,对称出块算法,对称出块算法
29030,ALGO_BOARD_FULL_HARD,盘面变满难题,盘面变满难题
29031,ALGO_FUN_SYMMETRY_BLOCK,趣味对称块,趣味对称块
140310,ALGO_MANY_CLEAR_TKXC,限制高combo-多消,限制高combo-多消
140922,FILL_CLEAR_PREFER_MIN_EDGE,边数优先填空消除,边数优先填空消除
141001,ALGO_2_FILL_1_SUI_JI_WU_SI,2填空1随机无死,2填空1随机无死
141251,COMBO2_FILL,combo2填空,combo2填空
202411,LIMIT_HIGH_SCORE_DOWNGRADE,限制最高分突破降级,限制最高分突破降级
291001,ALGO_CLIP_BLOCK,切割块,切割块
291005,ALGO_FILL_MORE_AREA_Y_MAX,大面积填空,大面积填空
291007,PROFIT_FILL_CLEAR,收益填空,收益填空
291009,HARD_BLOCK,回报难题,回报难题
291010,MORE_CLEAR_BLOCK,多消更多块,多消更多块
291011,FIND_SINGLE_CLEAR_MAX,空盘面题,空盘面题
291014,ORDER_SURFACE_LOWER_LEVEL,秩序盘面怼死降级,秩序盘面怼死降级
291016,ALGO_FILL_EMPTY_BIG_AVERAGE,填空消除单轮面积方差拉大,填空消除单轮面积方差拉大
291018,SAOLEI_FILL,扫雷填空,扫雷填空
291019,HARD_BINARY_LV,困难难题_lv,困难难题_lv
291021,ALGO_BIG_EMPTY_FILL,空区域填空,空区域填空
291022,AREA_MAX_TOP_QUICK_FILL,面积封顶快速填空,面积封顶快速填空
291023,ALGO_DIE_FILL_BLOCK,死亡填空块,死亡填空块
291024,ALGO_UNIQUE_ORDER_ANSWER,唯一顺序答案,唯一顺序答案
291026,ALGO_FZJ_DA_KUAI_ORDER_FILL,反直觉随机,反直觉随机
291027,ZHI_JUE_KE_JIE_NAN_TI,直觉可解难题,直觉可解难题
291028,ALGO_CLOSE_AREA_FILL,封闭切割,封闭切割
291029,ALGO_PART_OTHER_FILL,区别填空,区别填空
291030,COMBO_HELP,Combo帮扶,Combo帮扶
291031,ORDER_BORDER_VALUE_FILL,秩序填空,秩序填空
291033,ALGO_COMBO_LOWER_WEIGHT,低权重combo,低权重combo
291034,ALGO_CTRL_GAME_TIME_BLOCK,控制时长块,控制时长块
291036,CASCADE_FILL,连锁消除算法,连锁消除算法
291037,ALGO_SMALL_BLOCK_AFILL,小块难题,小块难题
291038,MORE_CLEAR_CFILL,多消构筑填空,多消构筑填空
291040,ALGO_LIFE_GROUP_TKXC,规整块难题,规整块难题
291041,MISS_PUT_FILL,误放后填空,误放后填空
291044,ALGO_ID9_AND_RANDOM_NO_DIE_FILL,ID9和随机无死填空,ID9和随机无死填空
291047,ALGO_SURFACE_BIG_CHANGE_FILL,盘面变化大填空消除,盘面变化大填空消除
291048,ALGO_GROUP_BIG_BLOCK_FILL,组合大块,组合大块
291050,ALGO_SL_DIF,扫雷难题,扫雷难题
291051,ALGO_NEW_LESS_EDGE_NEAR_THICKNESS,填空消除,贴边厚度优于连续边数
291052,ALGO_GZ_BLOCK_HELP,规整块帮扶,规整块帮扶
291053,ALGO_MAKE_GROUP_CLEAR_BLOCK,组合消除,组合消除
291054,ALGO_SAME_BLOCK_SHANG,相同块熵增,相同块熵增
291055,ALGO_CLEAR_PLUS_AFTER_BLOCK,连续清盘,连续清盘
291057,ALGO_CONFIG_FILL_BLOCK,初始清盘,初始清盘
291058,ALGO_HIGH_BORDER_BLOCK,高贴边组合,高贴边组合
291059,ALGO_RANDOM_DIFF,随机难题,随机难题
291060,TERMINATE_REFRESH_SCORE_FIX,终止刷分,终止刷分循环算法(bug修复)
291063,ALGO_GROUP_CLEAR_DIFF,组合消除难题,组合消除难题
291065,ALGO_OTHER_SHANG,区别熵增,区别熵增
291066,ALGO_AREA_CHANGE_CLEAR_FILL,区域加宽填空消除,区域加宽填空消除
291067,ALGO_BREAK_DIE_BLOCK,突破怼死,突破怼死
291069,COLOR_BLOCK_FILL_GAP,填补空洞算法,填补空洞算法
291070,ALGO_SAME_BLOCK_FILL,互补块,互补块
291071,IOS_ALGO_HARD_BINARY_COLOR_BLOCK,困难难题,困难难题
291072,IOS_ALGO_ZJNT_COLOR_BLOCK,直觉难题,直觉难题
291073,IOS_ALGO_VERY_DIFFICULT_COLOR_BLOCK,极其困难难题,极其困难难题
291074,ALGO_CX_SHANG,潮汐熵增,潮汐熵增
291075,MORE_SELECT_DIFF,多重选择难题,多重选择难题
291076,ALGO_BY_WEIGHT_FILL_CLEAR,区别填空,区别填空
291077,ALGO_START_SURFACE_CLEAR_HELP,初始盘面消除帮扶,初始盘面消除帮扶
291078,ALGO_COMBO_ADD_STOP_FILL,Combo填空,Combo填空
291079,ALGO_COMBO_STOP_FILL,Combo中断策略,Combo中断策略
291080,ALGO_SMALLER_BLOCK_REPLACE_DIE_BLOCK,验证怼死,验证怼死
291081,ALGO_SMALLER_BLOCK_REPLACE_DIE_BLOCK_TO_OTHER_PARAM,验证怼死(可配参数),验证怼死(可配参数)
291082,EDGE_ENTROPY_INCREASE3,贴边熵增3,贴边熵增3
291083,ALGO_BORDER_MINEST_FILL_BLOCK,边数最小填空,边数最小填空
291084,ALGO_CLEAR_BOARD_NEW_PLUS,清盘Plus两块选块优先面积均匀,清盘Plus两块选块优先面积均匀
291085,ALGO_REPLACE_ORIGINAL_BIG_BLOCK_PARAM,原大块替换(可配参数),原大块替换(可配参数)
291087,ALGO_REBORN_SELECT_BLOCK,复活选块,复活选块
291088,MUST_SOLVE_PUZZLE,必解难题,必解难题
291089,ALGO_SINGLE_PUT_BLOCK,单放块算法,单放块算法
291090,ALGO_EASY_DIE_BLOCKS,宽松致死题,宽松致死题
291091,ALGO_LOWER_SCORE_DIE,低分怼死题,低分怼死题
291092,ALGO_UNLESS_RECT_CLEAR_FILL_CLEAR_BOARD,非矩形不消除填空结合清盘,非矩形不消除填空结合清盘
291093,ALGO_UNLOCK_START_BOARD_BLOCK,解稳开局,解稳开局
291094,ALGO_CLEAR_BOARD_REPEAT,清盘复读算法,清盘复读算法
291095,PRECISE_COLLECT_FILL_R_BORDER,精准收集填空_加边数用除法,精准收集填空_加边数用除法
300001,ALGO_FULL_FILL,全填充,全填充
300002,ALGO_EFFICIENCY_FILL,效率填空,效率填空
444444,ALGO_SCORE_ACHIEVE_BLOCK,分数成就阻挠,分数成就阻挠
1415011,EDGE_FILL_ELIM,不贴边数少的填空,不贴边数少的填空
2910060,ALGO_SAMPLE_FILL,简单抉择,简单抉择
5000000,ALGO_HIGH_NEAR_EDGE_HOLE,高贴边空洞,高贴边空洞
5000002,ALGO_PLAYER_TAKE_DIFF_FILL,玩家拿块差异填空,玩家拿块差异填空
5000003,ALGO_HIGH_NEAR_EDGE_NOT_CONTINUOUS,高贴边不连续,高贴边不连续
5000005,LOW_PERFORMANCE_FILL,连续边最小贴边填空,连续边最小贴边填空
5000007,PERFECT_FIT_ALGORITHM,横竖完美贴合算法,横竖完美贴合算法
5000018,ALGO_CONTINUE_COMBO_EXTEND_V2,延续算法V2,延续算法V2
5000024,ALGO_RECT_FILL_INIT_BOARD,矩形填空的初始盘面,矩形填空的初始盘面
5300000,ALGO_DIRECTION_LOCK_HARD_1,方向互锁难题1,方向互锁难题1
5300001,ALGO_DIRECTION_LOCK_HARD_2,方向互锁难题2,方向互锁难题2
5900000,ALGO_SOFT_COMBO_INTERRUPT,规整消除两难题,规整消除两难题
5900001,ALGO_OPENING_GOAL_BOARD,首轮区域填空消除,首轮区域填空消除
